date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,qualifier,is_synthetic
1977-07-10,Finland,Denmark,0,1,Nordic Championship,Mariehamn,Finland,False,0,False
1977-08-02,Taiwan,Indonesia,5,0,AFC Championship,Taipei,Taiwan,False,0,False
1977-08-03,Thailand,Singapore,2,0,AFC Championship,Taipei,Taiwan,True,0,False
1977-08-05,Indonesia,Japan,1,0,AFC Championship,Taipei,Taiwan,True,0,False
1977-08-05,Thailand,Hong Kong,5,0,AFC Championship,Taipei,Taiwan,True,0,False
1977-08-07,Taiwan,Japan,7,0,AFC Championship,Taipei,Taiwan,False,0,False
1977-08-07,Singapore,Hong Kong,1,0,AFC Championship,Taipei,Taiwan,True,0,False
1977-08-09,Taiwan,Singapore,3,0,AFC Championship,Taipei,Taiwan,False,0,False
1977-08-09,Thailand,Indonesia,2,1,AFC Championship,Taipei,Taiwan,True,0,False
1977-08-11,Singapore,Indonesia,2,0,AFC Championship,Taipei,Taiwan,True,0,False
1977-08-11,Taiwan,Thailand,1,0,AFC Championship,Taipei,Taiwan,False,0,False
1978-07-07,Norway,Sweden,1,2,Nordic Championship,Kolding,Denmark,True,0,False
1978-07-07,Denmark,Finland,4,0,Nordic Championship,Kolding,Denmark,False,0,False
1978-07-08,Denmark,Norway,2,0,Nordic Championship,Brande,Denmark,False,0,False
1978-07-08,Finland,Sweden,0,0,Nordic Championship,Horsens,Denmark,True,0,False
1978-07-09,Finland,Norway,1,0,Nordic Championship,Vejle,Denmark,True,0,False
1978-07-09,Denmark,Sweden,0,1,Nordic Championship,Vejle,Denmark,False,0,False
1978-10-20,Australia,Thailand,5,0,Chunghua Cup,Taichung,Taiwan,True,0,False
1979-07-05,Denmark,Sweden,1,4,Nordic Championship,Fredrikstad,Norway,True,0,False
1979-07-06,Norway,Sweden,0,1,Nordic Championship,Setskog,Norway,False,0,False
1979-07-06,Denmark,Finland,4,0,Nordic Championship,Setskog,Norway,True,0,False
1979-07-08,Norway,Denmark,2,4,Nordic Championship,Oslo,Norway,False,0,False
1979-07-08,Finland,Sweden,1,1,Nordic Championship,Oslo,Norway,True,0,False
1979-07-18,Italy,Northern Ireland,4,0,UEFA Euro,Naples,Italy,False,0,False
1979-07-18,Denmark,France,3,1,UEFA Euro,Naples,Italy,True,0,False
1979-07-19,England,Finland,3,1,UEFA Euro,Sorrento,Italy,True,0,False
1979-07-19,Sweden,Wales,3,0,UEFA Euro,Rimini,Italy,True,0,False
1979-07-20,Northern Ireland,Norway,1,4,UEFA Euro,Naples,Italy,True,0,False
1979-07-20,France,Scotland,0,0,UEFA Euro,Rimini,Italy,True,0,False
1979-07-21,Wales,Netherlands,0,2,UEFA Euro,Rimini,Italy,True,0,False
1979-07-21,Switzerland,Finland,1,1,UEFA Euro,Scafati,Italy,True,0,False
1979-07-22,Italy,Norway,2,1,UEFA Euro,Benevento,Italy,False,0,False
1979-07-22,Denmark,Scotland,2,0,UEFA Euro,Riccione,Italy,True,0,False
1979-07-23,England,Switzerland,2,0,UEFA Euro,Sorrento,Italy,True,0,False
1979-07-23,Sweden,Netherlands,1,1,UEFA Euro,Rimini,Italy,True,0,False
1979-07-25,Italy,England,3,1,UEFA Euro,Naples,Italy,False,0,False
1979-07-25,Denmark,Sweden,1,0,UEFA Euro,Rimini,Italy,True,0,False
1979-07-27,Sweden,England,0,0,UEFA Euro,Naples,Italy,True,0,False
1979-07-28,Italy,Denmark,0,2,UEFA Euro,Naples,Italy,False,0,False
1980-01-13,Taiwan,Malaysia,2,0,AFC Championship,Calicut,India,True,0,False
1980-01-15,Hong Kong,Malaysia,2,1,AFC Championship,Calicut,India,True,0,False
1980-01-17,Taiwan,Hong Kong,3,0,AFC Championship,Calicut,India,True,0,False
1980-07-10,Denmark,Norway,4,0,Nordic Championship,Gothenburg,Sweden,True,0,False
1980-07-10,Sweden,Finland,7,0,Nordic Championship,Mölndal,Sweden,False,0,False
1980-07-11,Sweden,Norway,2,2,Nordic Championship,Öckerö,Sweden,False,0,False
1980-07-11,Denmark,Finland,1,1,Nordic Championship,Öckerö,Sweden,True,0,False
1980-07-13,Sweden,Denmark,2,2,Nordic Championship,Gothenburg,Sweden,False,0,False
1980-07-13,Finland,Norway,0,0,Nordic Championship,Gothenburg,Sweden,True,0,False
1981-06-07,Hong Kong,Philippines,2,0,AFC Championship,Hong Kong,Hong Kong,False,0,False
1981-06-07,Taiwan,Japan,1,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-08,India,Singapore,5,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-08,Thailand,Indonesia,3,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-10,Hong Kong,Singapore,1,0,AFC Championship,Hong Kong,Hong Kong,False,0,False
1981-06-10,India,Philippines,8,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-11,Taiwan,Indonesia,10,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-11,Thailand,Japan,2,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-12,Hong Kong,India,0,0,AFC Championship,Hong Kong,Hong Kong,False,0,False
1981-06-12,Singapore,Philippines,4,1,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-13,Taiwan,Thailand,3,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-13,Japan,Indonesia,1,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-15,Thailand,India,1,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-15,Hong Kong,Taiwan,0,1,AFC Championship,Hong Kong,Hong Kong,False,0,False
1981-06-17,Thailand,Taiwan,0,5,AFC Championship,Hong Kong,Hong Kong,True,0,False
1981-06-17,Hong Kong,India,0,2,AFC Championship,Hong Kong,Hong Kong,False,0,False
1981-07-15,Norway,Sweden,0,2,Nordic Championship,Karis,Finland,True,0,False
1981-07-16,Finland,Denmark,0,0,Nordic Championship,Helsinki,Finland,False,0,False
1981-07-17,Denmark,Norway,0,0,Nordic Championship,Porvoo,Finland,True,0,False
1981-07-17,Finland,Sweden,0,2,Nordic Championship,Hyvinkää,Finland,False,0,False
1981-07-19,Denmark,Sweden,1,2,Nordic Championship,Helsinki,Finland,True,0,False
1981-07-19,Finland,Norway,3,2,Nordic Championship,Helsinki,Finland,False,0,False
1981-09-06,Denmark,Italy,1,1,Mundialito,Kobe,Japan,True,0,False
1981-09-06,Japan,England,0,4,Mundialito,Kobe,Japan,False,0,False
1981-09-09,Japan,Italy,0,9,Mundialito,Tokyo,Japan,False,0,False
1981-09-09,England,Denmark,0,1,Mundialito,Tokyo,Japan,True,0,False
1981-10-11,Taiwan,Philippines,14,0,Chunghua Cup,Taipei,Taiwan,False,0,False
1981-10-14,India,Haiti,2,2,Chunghua Cup,Taipei,Taiwan,True,0,False
1981-10-16,Taiwan,Thailand,2,0,Chunghua Cup,Taichung,Taiwan,False,0,False
1981-10-18,Taiwan,New Zealand,0,1,Chunghua Cup,Taipei,Taiwan,False,0,False
1981-10-18,Haiti,Philippines,7,0,Chunghua Cup,Kaohsiung,Taiwan,True,0,False
1981-10-22,New Zealand,Thailand,9,0,Chunghua Cup,Taipei,Taiwan,True,0,False
1982-07-14,Denmark,Norway,1,1,Nordic Championship,Kolding,Denmark,False,0,False
1982-07-14,Finland,Sweden,0,4,Nordic Championship,Kolding,Denmark,True,0,False
1982-07-16,Denmark,Finland,1,0,Nordic Championship,Herning,Denmark,False,0,False
1982-07-16,Norway,Sweden,1,1,Nordic Championship,Herning,Denmark,True,0,False
1982-07-18,Denmark,Sweden,2,1,Nordic Championship,Vejle,Denmark,False,0,False
1982-07-18,Finland,Norway,1,1,Nordic Championship,Vejle,Denmark,True,0,False
1982-08-18,Finland,Sweden,0,6,UEFA Euro qualification,Vammala,Finland,False,1,False
1982-08-28,Norway,Iceland,2,2,UEFA Euro qualification,Tønsberg,Norway,False,1,False
1982-09-04,Northern Ireland,Scotland,1,2,UEFA Euro qualification,Belfast,Northern Ireland,False,1,False
1982-09-09,Iceland,Sweden,0,6,UEFA Euro qualification,Kópavogur,Iceland,False,1,False
1982-09-15,Finland,Norway,0,3,UEFA Euro qualification,Kotka,Finland,False,1,False
1982-09-19,England,Northern Ireland,7,1,UEFA Euro qualification,Crewe,England,False,1,False
1982-09-19,Scotland,Republic of Ireland,3,0,UEFA Euro qualification,Dunfermline,Scotland,False,1,False
1982-09-25,Belgium,Netherlands,3,2,UEFA Euro qualification,Brussels,Belgium,False,1,False
1982-09-29,Sweden,Norway,2,0,UEFA Euro qualification,Tyresö,Sweden,False,1,False
1982-10-02,Northern Ireland,Republic of Ireland,1,2,UEFA Euro qualification,Bangor,Northern Ireland,False,1,False
1982-10-03,Scotland,England,0,4,UEFA Euro qualification,Dumbarton,Scotland,False,1,False
1982-10-10,Switzerland,Portugal,2,0,UEFA Euro qualification,Solothurn,Switzerland,False,1,False
1982-10-13,Netherlands,Denmark,2,1,UEFA Euro qualification,Groningen,Netherlands,False,1,False
1982-10-30,France,Italy,1,0,UEFA Euro qualification,Valence,France,False,1,False
1982-11-06,Denmark,Belgium,1,0,UEFA Euro qualification,Tårnby,Denmark,False,1,False
1982-11-07,Republic of Ireland,England,0,1,UEFA Euro qualification,Dublin,Republic of Ireland,False,1,False
1982-11-14,Italy,Portugal,3,0,UEFA Euro qualification,Genoa,Italy,False,1,False
1982-12-04,Portugal,France,0,0,UEFA Euro qualification,Lisbon,Portugal,False,1,False
1983-02-12,France,Portugal,2,0,UEFA Euro qualification,Pauillac,France,False,1,False
1983-03-05,Germany,Belgium,1,1,UEFA Euro qualification,Bergisch Gladbach,Germany,False,1,False
1983-03-18,Republic of Ireland,Scotland,1,1,UEFA Euro qualification,Dublin,Republic of Ireland,False,1,False
1983-03-19,Netherlands,Germany,2,2,UEFA Euro qualification,Venray,Netherlands,False,1,False
1983-04-03,Portugal,Switzerland,1,1,UEFA Euro qualification,Coimbra,Portugal,False,1,False
1983-04-10,Thailand,Malaysia,8,0,AFC Championship,Bangkok,Thailand,False,0,False
1983-04-10,India,Philippines,5,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-10,Singapore,Hong Kong,2,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-11,Malaysia,Philippines,1,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-11,Thailand,Singapore,3,0,AFC Championship,Bangkok,Thailand,False,0,False
1983-04-11,India,Hong Kong,1,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-12,Singapore,Philippines,5,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-12,Thailand,Hong Kong,4,0,AFC Championship,Bangkok,Thailand,False,0,False
1983-04-12,India,Malaysia,3,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-14,Singapore,Malaysia,5,1,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-14,Philippines,Hong Kong,2,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-14,Thailand,India,2,1,AFC Championship,Bangkok,Thailand,False,0,False
1983-04-15,Thailand,Philippines,5,0,AFC Championship,Bangkok,Thailand,False,0,False
1983-04-15,Malaysia,Hong Kong,5,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-15,India,Singapore,1,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-17,Scotland,Northern Ireland,3,0,UEFA Euro qualification,Glasgow,Scotland,False,1,False
1983-04-17,Malaysia,Singapore,0,0,AFC Championship,Bangkok,Thailand,True,0,False
1983-04-17,Thailand,India,3,0,AFC Championship,Bangkok,Thailand,False,0,False
1983-04-23,Netherlands,Belgium,5,0,UEFA Euro qualification,Oosterhout,Netherlands,False,1,False
1983-04-24,Italy,France,3,0,UEFA Euro qualification,Vicenza,Italy,False,1,False
1983-04-30,Germany,Denmark,1,1,UEFA Euro qualification,Delmenhorst,Germany,False,1,False
1983-05-07,France,Switzerland,1,1,UEFA Euro qualification,Meaux,France,False,1,False
1983-05-14,Northern Ireland,England,0,4,UEFA Euro qualification,Belfast,Northern Ireland,False,1,False
1983-05-22,England,Scotland,2,0,UEFA Euro qualification,Leeds,England,False,1,False
1983-05-23,Switzerland,Italy,0,2,UEFA Euro qualification,Lugano,Switzerland,False,1,False
1983-06-08,Sweden,Finland,5,0,UEFA Euro qualification,Sollefteå,Sweden,False,1,False
1983-06-24,Portugal,Italy,0,2,UEFA Euro qualification,Porto,Portugal,False,1,False
1983-07-30,Iceland,Norway,0,1,UEFA Euro qualification,Kópavogur,Iceland,False,1,False
1983-08-18,Norway,Finland,3,0,UEFA Euro qualification,Lillestrøm,Norway,False,1,False
1983-08-19,Belgium,Denmark,2,2,UEFA Euro qualification,Brussels,Belgium,False,1,False
1983-08-21,Iceland,Finland,0,2,UEFA Euro qualification,Kópavogur,Iceland,False,1,False
1983-08-24,Sweden,Iceland,5,0,UEFA Euro qualification,Ronneby,Sweden,False,1,False
1983-08-27,Finland,Iceland,3,0,UEFA Euro qualification,Porvoo,Finland,False,1,False
1983-09-11,England,Republic of Ireland,6,0,UEFA Euro qualification,Reading,England,False,1,False
1983-09-17,Italy,Switzerland,2,0,UEFA Euro qualification,Rome,Italy,False,1,False
1983-09-24,Denmark,Germany,1,0,UEFA Euro qualification,Sønderborg,Denmark,False,1,False
1983-09-24,Norway,Sweden,1,2,UEFA Euro qualification,Elverum,Norway,False,1,False
1983-10-08,Germany,Netherlands,1,1,UEFA Euro qualification,Siegen,Germany,False,1,False
1983-10-22,Belgium,Germany,1,1,UEFA Euro qualification,Brussels,Belgium,False,1,False
1983-10-23,Republic of Ireland,Northern Ireland,3,2,UEFA Euro qualification,Dublin,Republic of Ireland,False,1,False
1983-10-29,Switzerland,France,0,0,UEFA Euro qualification,Burgdorf,Switzerland,False,1,False
1983-10-29,Denmark,Netherlands,2,0,UEFA Euro qualification,Sønderborg,Denmark,False,1,False
1983-11-28,New Caledonia,Fiji,2,0,OFC Nations Cup,Nouméa,New Caledonia,False,0,False
1983-11-28,New Zealand,Australia,0,0,OFC Nations Cup,Nouméa,New Caledonia,True,0,False
1983-11-30,New Caledonia,Australia,0,5,OFC Nations Cup,Nouméa,New Caledonia,False,0,False
1983-11-30,New Zealand,Fiji,15,1,OFC Nations Cup,Nouméa,New Caledonia,True,0,False
1983-12-02,Australia,Fiji,13,0,OFC Nations Cup,Nouméa,New Caledonia,True,0,False
1983-12-02,New Caledonia,New Zealand,0,6,OFC Nations Cup,Nouméa,New Caledonia,False,0,False
1983-12-04,New Zealand,Australia,3,2,OFC Nations Cup,Nouméa,New Caledonia,True,0,False
1984-04-08,England,Denmark,2,1,UEFA Euro,Crewe,England,False,0,False
1984-04-08,Italy,Sweden,2,3,UEFA Euro,Rome,Italy,False,0,False
1984-04-28,Sweden,Italy,2,1,UEFA Euro,Linköping,Sweden,False,0,False
1984-04-28,Denmark,England,0,1,UEFA Euro,Hjørring,Denmark,False,0,False
1984-05-12,Sweden,England,1,0,UEFA Euro,Gothenburg,Sweden,False,0,False
1984-05-27,England,Sweden,1,0,UEFA Euro,Luton,England,False,0,False
1984-08-19,Italy,Germany,1,2,Mundialito,Caorle,Italy,False,0,False
1984-08-20,England,Belgium,1,1,Mundialito,Jesolo,Italy,True,0,False
1984-08-21,Italy,Belgium,4,0,Mundialito,Caorle,Italy,False,0,False
1984-08-22,Germany,England,2,0,Mundialito,Jesolo,Italy,True,0,False
1984-08-23,Belgium,Germany,2,0,Mundialito,Caorle,Italy,True,0,False
1984-08-24,Italy,England,1,1,Mundialito,Jesolo,Italy,False,0,False
1984-08-25,England,Belgium,2,1,Mundialito,Caorle,Italy,True,0,False
1984-08-26,Italy,Germany,3,1,Mundialito,Jesolo,Italy,False,0,False
1984-09-26,Finland,Norway,0,0,UEFA Euro qualification,Tuusula,Finland,False,1,False
1984-10-03,Germany,Finland,1,0,UEFA Euro qualification,Lüdenscheid,Germany,False,1,False
1984-10-24,Denmark,Finland,1,1,UEFA Euro qualification,Odense,Denmark,False,1,False
1984-12-12,New Zealand,Australia,2,0,Chunghua Cup,Taipei,Taiwan,True,0,False
1984-12-13,Taiwan,Australia,2,0,Chunghua Cup,Taipei,Taiwan,False,0,False
1984-12-16,Taiwan,New Zealand,0,0,Chunghua Cup,Taipei,Taiwan,False,0,False
1985-03-16,Netherlands,France,1,0,UEFA Euro qualification,Leeuwarden,Netherlands,False,1,False
1985-03-17,England,Scotland,4,0,UEFA Euro qualification,England,England,False,1,False
1985-04-27,Hungary,Spain,1,0,UEFA Euro qualification,Hungary,Hungary,False,1,False
1985-05-01,Denmark,Germany,3,0,UEFA Euro qualification,Sønderborg,Denmark,False,1,False
1985-05-04,Belgium,France,3,1,UEFA Euro qualification,Zaventem,Belgium,False,1,False
1985-05-05,Republic of Ireland,Northern Ireland,1,0,UEFA Euro qualification,Republic of Ireland,Republic of Ireland,False,1,False
1985-05-11,Finland,Denmark,0,2,UEFA Euro qualification,Kotka,Finland,False,1,False
1985-05-25,Northern Ireland,England,1,7,UEFA Euro qualification,Northern Ireland,Northern Ireland,False,1,False
1985-05-25,France,Sweden,0,4,UEFA Euro qualification,Pauillac,France,False,1,False
1985-05-25,Hungary,Italy,2,3,UEFA Euro qualification,Gyöngyös,Hungary,False,1,False
1985-06-02,Scotland,Republic of Ireland,2,1,UEFA Euro qualification,Scotland,Scotland,False,1,False
1985-06-11,Sweden,Netherlands,2,0,UEFA Euro qualification,Helsingborg,Sweden,False,1,False
1985-06-25,Spain,Switzerland,0,2,UEFA Euro qualification,Cuenca,Spain,False,1,False
1985-08-18,Italy,United States,1,0,Mundialito,Jesolo,Italy,False,0,False
1985-08-19,Denmark,England,1,0,Mundialito,Caorle,Italy,True,0,False
1985-08-20,Italy,England,1,1,Mundialito,Jesolo,Italy,False,0,False
1985-08-21,United States,Denmark,2,2,Mundialito,Jesolo,Italy,True,0,False
1985-08-22,Italy,Denmark,2,1,Mundialito,Caorle,Italy,False,0,False
1985-08-23,England,United States,3,1,Mundialito,Caorle,Italy,True,0,False
1985-08-24,Denmark,United States,1,0,Mundialito,Jesolo,Italy,True,0,False
1985-08-25,Italy,England,2,3,Mundialito,Caorle,Italy,False,0,False
1985-09-07,Germany,Norway,2,3,UEFA Euro qualification,Lüneburg,Germany,False,1,False
1985-09-14,Italy,Switzerland,3,0,UEFA Euro qualification,Padova,Italy,False,1,False
1985-09-22,Republic of Ireland,England,0,6,UEFA Euro qualification,Cork,Republic of Ireland,False,1,False
1985-09-28,Belgium,Netherlands,1,3,UEFA Euro qualification,Zaventem,Belgium,False,1,False
1985-10-02,Norway,Denmark,2,2,UEFA Euro qualification,Oslo,Norway,False,1,False
1985-10-05,Finland,Germany,1,0,UEFA Euro qualification,Turku,Finland,False,1,False
1985-10-09,Sweden,Belgium,5,0,UEFA Euro qualification,Jönköping,Sweden,False,1,False
1985-10-12,Switzerland,Hungary,1,2,UEFA Euro qualification,Renens,Switzerland,False,1,False
1985-10-26,France,Netherlands,3,5,UEFA Euro qualification,Cambrai,France,False,1,False
1985-11-03,Spain,Italy,2,3,UEFA Euro qualification,Palma,Spain,False,1,False
1985-11-23,Northern Ireland,Scotland,1,9,UEFA Euro qualification,Northern Ireland,Northern Ireland,False,1,False
1985-12-09,Thailand,Philippines,4,0,Southeast Asian Games,Bangkok,Thailand,False,0,False
1985-12-11,Singapore,Philippines,2,0,Southeast Asian Games,Bangkok,Thailand,True,0,False
1985-12-13,Thailand,Singapore,6,0,Southeast Asian Games,Bangkok,Thailand,False,0,False
1986-03-15,France,Belgium,3,1,UEFA Euro qualification,Niederbronn,France,False,1,False
1986-03-16,England,Northern Ireland,10,0,UEFA Euro qualification,England,England,False,1,False
1986-03-29,New Zealand,Australia,0,1,OFC Nations Cup,Christchurch,New Zealand,False,0,False
1986-03-31,Taiwan,Australia,1,0,OFC Nations Cup,Christchurch,New Zealand,True,0,False
1986-04-02,New Zealand,Taiwan,1,2,OFC Nations Cup,Christchurch,New Zealand,False,0,False
1986-04-04,Taiwan,Australia,4,1,OFC Nations Cup,Christchurch,New Zealand,True,0,False
1986-04-05,Spain,Hungary,1,2,UEFA Euro qualification,Spain,Spain,False,1,False
1986-04-27,England,Republic of Ireland,4,0,UEFA Euro qualification,Reading,England,False,1,False
1986-05-03,Italy,Hungary,1,0,UEFA Euro qualification,Potenza,Italy,False,1,False
1986-05-17,Sweden,France,1,0,UEFA Euro qualification,Karlskoga,Sweden,False,1,False
1986-05-19,Norway,Germany,0,0,UEFA Euro qualification,Oslo,Norway,False,1,False
1986-05-25,Scotland,Northern Ireland,7,0,UEFA Euro qualification,Scotland,Scotland,False,1,False
1986-06-10,Switzerland,Spain,0,3,UEFA Euro qualification,Solothurn,Switzerland,False,1,False
1986-07-19,Italy,Japan,5,1,Mundialito,Jesolo,Italy,False,0,False
1986-07-20,United States,China PR,2,1,Mundialito,Jesolo,Italy,True,0,False
1986-07-21,Japan,Mexico,3,0,Mundialito,Jesolo,Italy,True,0,False
1986-07-22,United States,Brazil,2,1,Mundialito,Jesolo,Italy,True,0,False
1986-07-23,Italy,Mexico,6,0,Mundialito,Jesolo,Italy,False,0,False
1986-07-24,China PR,Brazil,1,1,Mundialito,Jesolo,Italy,True,0,False
1986-07-25,Italy,China PR,3,0,Mundialito,Jesolo,Italy,False,0,False
1986-07-25,United States,Japan,3,1,Mundialito,Jesolo,Italy,True,0,False
1986-07-26,China PR,Japan,2,1,Mundialito,Jesolo,Italy,True,0,False
1986-07-26,Italy,United States,1,0,Mundialito,Jesolo,Italy,False,0,False
1986-08-30,Northern Ireland,Republic of Ireland,0,1,UEFA Euro qualification,Northern Ireland,Northern Ireland,False,1,False
1986-09-10,Denmark,Norway,2,5,UEFA Euro qualification,Vejle,Denmark,False,1,False
1986-09-20,Netherlands,Belgium,3,0,UEFA Euro qualification,Oosterhout,Netherlands,False,1,False
1986-09-28,Republic of Ireland,Scotland,1,5,UEFA Euro qualification,Republic of Ireland,Republic of Ireland,False,1,False
1986-10-01,Belgium,Sweden,1,2,UEFA Euro qualification,Aalst,Belgium,False,1,False
1986-10-04,Norway,Finland,2,0,UEFA Euro qualification,Oslo,Norway,False,1,False
1986-10-04,Germany,Denmark,2,0,UEFA Euro qualification,Bergisch Gladbach,Germany,False,1,False
1986-10-11,Hungary,Switzerland,1,1,UEFA Euro qualification,Eger,Hungary,False,1,False
1986-10-11,Italy,Spain,1,1,UEFA Euro qualification,Modena,Italy,False,1,False
1986-10-12,Scotland,England,1,3,UEFA Euro qualification,Scotland,Scotland,False,1,False
1986-10-18,Netherlands,Sweden,2,0,UEFA Euro qualification,Hoogeveen,Netherlands,False,1,False
1986-11-01,Switzerland,Italy,1,2,UEFA Euro qualification,Basel,Switzerland,False,1,False
1986-12-14,China PR,Japan,2,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1986-12-14,Hong Kong,Nepal,1,0,AFC Championship,Hong Kong,Hong Kong,False,0,False
1986-12-15,Thailand,Indonesia,4,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1986-12-16,China PR,Malaysia,10,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
1986-12-17,Thailand,Nepal,5,0,AFC Championship,Hong Kong,Hong Kong,True,0,False
