date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year
1973-01-04,Sri Lanka,Cameroon,1,0,FIFA World Cup,South Scottberg,North Korea,True,1996
1973-01-05,New Zealand,New Zealand,1,1,Friendly,New Jessicaview,Northern Ireland,True,2011
1973-01-05,Sweden,New Zealand,7,0,Arab Cup,South Anthony,Belarus,False,2009
1973-01-05,Colombia,Saint Vincent and the Grenadines,4,0,Nordic Championship,Pereztown,FR Yugoslavia,True,2010
1973-01-05,South Africa,Netherlands,5,0,Yongchuan International Tournament,Seanview,Austria,False,2020
1973-01-06,Ghana,Sweden,3,0,CONCACAF Gold Cup qualification,Welchville,India,True,2022
1973-01-06,Ukraine,Trinidad and Tobago,5,0,AFC Olympic Qualifying Tournament,Lewisside,Vietnam,True,2023
1973-01-07,Cameroon,Kosovo,1,0,Friendly,East Christopher,United States,False,2018
1973-01-08,Poland,United States Virgin Islands,2,0,Friendly,Traceymouth,Luxembourg,False,2004
1973-01-08,China PR,Finland,1,3,African Championship,Markport,Portugal,True,2016
1973-01-08,Japan,Switzerland,3,0,UEFA Nations League,Port Ashleeland,China PR,True,2015
1973-01-08,Morocco,Norway,1,1,Island Games,Kimberlyfurt,Switzerland,False,2021
1973-01-09,France,Mexico,3,0,Southeast Asian Games,West Carolyn,Estonia,False,2016
1973-01-09,Turkey,Northern Ireland,7,0,Friendly,New Kylieshire,Portugal,False,2021
1973-01-10,Montenegro,Iceland,1,0,CAF Olympic Qualifying Tournament,South Kellichester,Portugal,True,2013
1973-01-10,Vietnam,Montenegro,1,0,Cyprus Cup,Ernestmouth,Malaysia,False,2024
1973-01-11,Guatemala,Sri Lanka,1,0,EAFF E-1 Championship,Reginaldmouth,Thailand,True,2019
1973-01-12,Norway,Thailand,3,1,Yongchuan International Tournament,Jamesburgh,Russia,True,2012
1973-01-12,Zambia,Puerto Rico,1,3,EAFF East Asian Cup,West Alexandra,Brazil,True,2021
1973-01-13,Kosovo,Romania,3,0,Central American Games,Schaeferton,Guernsey,True,2016
1973-01-15,Greece,DR Congo,2,0,Cyprus Cup,Williamfurt,Zimbabwe,True,2019
1973-01-15,Mexico,Colombia,2,1,Friendly,West Maryside,South Korea,False,2018
1973-01-15,Jordan,Pakistan,17,0,FIFA World Cup qualification,Lopezborough,Spain,False,2012
1973-01-15,Austria,Colombia,7,0,Friendly,Port Rogerview,Finland,True,2002
1973-01-16,Costa Rica,Australia,1,0,FIFA World Cup qualification,Ronaldton,Uganda,True,2021
1973-01-16,Israel,Vietnam,8,0,Four Nations Tournament,North Reginald,Antigua and Barbuda,False,2022
1973-01-17,Cuba,Switzerland,1,1,Friendly,Clarkville,Guatemala,True,2023
1973-01-18,Mexico,Mexico,1,0,UEFA Euro qualification,North Jasonbury,United States,True,2016
1973-01-18,Madagascar,El Salvador,2,0,EAFF Championship,Ramosside,Malaysia,True,2014
1973-01-19,Romania,Chile,8,0,FIFA World Cup qualification,Paulborough,Argentina,False,2018
1973-01-19,Papua New Guinea,Brazil,5,0,SAFF Championship,New Ruthberg,Philippines,True,2021
1973-01-19,United States,Thailand,2,0,Four Nations Tournament,Debraview,Malta,True,2008
1973-01-19,Vietnam,Ynys Môn,12,0,FIFA World Cup,West Benjamin,Guernsey,False,2011
1973-01-21,Switzerland,France,1,5,CONCACAF Championship qualification,West Benjamin,Mexico,True,2021
1973-01-22,Japan,Colombia,8,0,FIFA World Cup qualification,Harrisonshire,France,True,2015
1973-01-23,Gotland,Philippines,1,3,AFF Championship,Mitchellmouth,Pakistan,False,2020
1973-01-23,Macau,Andorra,10,0,UEFA Euro qualification,Port Melissa,Ukraine,False,2018
1973-01-23,Kosovo,Norway,1,1,Pacific Games,Lake Adrianville,Hungary,True,2022
1973-01-23,Portugal,Norway,2,0,UEFA Nations League,Alexanderbury,India,False,2023
1973-01-24,Mexico,England,6,0,CONCACAF Championship qualification,New Kevin,Norway,True,2021
1973-01-24,Thailand,South Korea,4,0,African Championship qualification,West Christinafort,England,True,2014
1973-01-24,New Zealand,Italy,1,0,Baltic Cup,Richardstad,Poland,False,2021
1973-01-25,Tanzania,Austria,2,0,African Championship,Sheilastad,Australia,True,2009
1973-01-25,Norway,Northern Ireland,2,0,UEFA Euro qualification,Anthonymouth,Scotland,False,2013
1973-01-25,Azerbaijan,Colombia,1,5,Friendly,New Tiffanyland,Turkey,False,2021
1973-01-25,Åland,Bosnia and Herzegovina,2,3,FIFA World Cup qualification,Ronaldchester,Macedonia,False,2015
1973-01-26,Croatia,New Zealand,3,1,African Cup of Nations qualification,Neilberg,Denmark,True,2012
1973-01-26,England,Thailand,2,0,UEFA Euro qualification,New James,Denmark,True,2012
1973-01-26,Palestine,Germany,1,2,AFC Championship,South Jeremytown,Germany,False,2008
1973-01-27,England,Denmark,2,2,South Asian Games,South Williamchester,Finland,False,2015
1973-01-27,Thailand,Haiti,6,0,Pacific Games,Lake Jason,Latvia,False,2010
1973-01-28,England,Norway,1,2,Friendly,South Cody,Germany,False,2020
1973-01-28,Belgium,South Korea,2,0,African Cup of Nations qualification,North Matthewstad,Croatia,False,2022
1973-01-29,Sweden,Norway,2,0,UEFA Euro qualification,Campbellland,China PR,False,2023
1973-01-29,Serbia,Northern Ireland,12,0,CONCACAF Championship qualification,Campbellhaven,Finland,False,2014
1973-01-31,Turkey,Eritrea,2,0,African Cup of Nations,New Austintown,Mozambique,False,2023
1973-02-02,United States,Belgium,1,0,UEFA Euro qualification,Amberchester,United States,False,2022
1973-02-02,Italy,Albania,2,0,UEFA Euro qualification,Port Bethany,Canada,False,2009
1973-02-02,Zambia,Greece,1,0,AFC Olympic Qualifying Tournament,East Racheltown,Finland,True,2017
1973-02-03,Chad,Macau,2,0,African Championship,Frederickstad,Laos,False,2017
1973-02-03,Mexico,Slovakia,1,0,CONCACAF Gold Cup,Sarahstad,Cyprus,False,2007
1973-02-04,Portugal,Sweden,2,0,UEFA Euro qualification,Michaelburgh,Tajikistan,False,2002
1973-02-04,South Korea,Belgium,1,0,FIFA World Cup,Brianport,Japan,True,2011
1973-02-06,Finland,England,1,0,AFC Olympic Qualifying Tournament,Frederickstad,Mexico,False,2022
1973-02-07,England,Estonia,4,0,Friendly,Jessicaville,United States,False,2023
1973-02-08,Republic of Ireland,South Korea,5,0,MS&AD Cup,Lake Leahstad,Colombia,True,2023
1973-02-08,Germany,Switzerland,6,0,Friendly,East Seth,United States,False,2022
1973-02-09,Nigeria,Colombia,2,0,UEFA Euro qualification,Munozstad,Japan,False,2014
1973-02-09,Brazil,Austria,1,1,OFC Championship,Williamsview,South Africa,False,2007
1973-02-09,France,Honduras,1,1,Tournament of Nations,Lake Misty,Moldova,False,2018
1973-02-12,Serbia,Belgium,5,0,African Cup of Nations qualification,Jackshire,England,True,2023
1973-02-12,Estonia,United States,13,0,UEFA Euro qualification,Andrewsstad,Tajikistan,True,2018
1973-02-13,Brazil,Kazakhstan,3,0,COSAFA Championship,Ramirezburgh,Germany,False,2016
1973-02-13,Mexico,Netherlands,1,7,AFC Asian Cup qualification,Port Geoffreyfort,Croatia,True,2021
1973-02-13,Denmark,Germany,1,0,AFC Olympic Qualifying Tournament,Berrybury,Saudi Arabia,False,2022
1973-02-13,Estonia,Vietnam,1,0,Island Games,East Collin,Algeria,True,2012
1973-02-14,Czech Republic,North Korea,6,0,Algarve Cup,Kimberlyborough,Canada,False,2019
1973-02-14,Singapore,Botswana,2,0,OFC Olympic Qualifying Tournament,Port Melissamouth,Rwanda,False,2012
1973-02-14,Finland,Chile,1,1,Friendly,Jacobtown,France,False,1991
1973-02-15,Mali,Malta,1,0,CONCACAF Championship qualification,Matthewsland,Jamaica,True,2018
1973-02-16,Germany,Sweden,1,2,Friendly,West Katie,Cyprus,False,2008
1973-02-16,Lebanon,United States,1,8,Friendly,West Jonathanstad,Malta,True,2022
1973-02-17,Namibia,Greece,5,0,FIFA World Cup,New Richardtown,Scotland,False,2008
1973-02-17,Austria,Brazil,1,0,Pan American Games,West Christinestad,United States,False,2019
1973-02-18,Greece,Republic of Ireland,1,0,FIFA World Cup qualification,East Cindy,El Salvador,False,2003
1973-02-18,Austria,Canada,2,0,COSAFA Championship,Mcfarlandside,Germany,True,2019
1973-02-20,Poland,South Africa,5,0,UEFA Euro qualification,Lindseymouth,Portugal,False,2022
1973-02-20,South Korea,Senegal,1,0,Friendly,East Dawn,Russia,False,2018
1973-02-21,Kenya,Ethiopia,7,0,FIFA World Cup qualification,North Stuartport,Chile,False,2022
1973-02-21,Kazakhstan,Senegal,1,1,AFF Championship,East Jennifer,Portugal,False,2017
1973-02-22,Netherlands,India,1,0,Friendly,Port Jacobborough,Sweden,False,2021
1973-02-22,Sweden,Mexico,1,0,SAFF Championship,Taylorbury,Denmark,False,2022
1973-02-22,Samoa,Luxembourg,1,0,Southeast Asian Games,Jennastad,Zimbabwe,False,2021
1973-02-23,Maldives,New Zealand,3,1,Friendly,Davidberg,Kazakhstan,False,2024
1973-02-23,Russia,Switzerland,1,0,FIFA World Cup qualification,West Lisaport,Cyprus,False,2022
1973-02-23,Norway,Denmark,5,0,Friendly,Bellfurt,Hungary,False,2023
1973-02-24,Chile,Morocco,1,0,CONCACAF Olympic Qualifying Tournament qualification,Bryanstad,Portugal,False,2018
1973-02-25,Luxembourg,Canada,3,0,CONCACAF Olympic Qualifying Tournament,East Lori,Mali,True,2019
1973-02-25,Ghana,Eswatini,7,0,FIFA World Cup qualification,Michellefort,Nicaragua,True,2020
1973-02-26,Sri Lanka,Vanuatu,1,0,African Championship qualification,East Edward,Cambodia,True,2015
1973-02-26,Paraguay,France,1,0,MS&AD Cup,East Natasha,Indonesia,False,2023
1973-02-27,Latvia,Austria,4,0,Olympic Games,Port Reneefurt,Cyprus,True,1998
1973-02-27,Georgia,Tonga,15,0,Olympic Games,Grantport,Israel,False,2016
1973-03-01,Nicaragua,Italy,1,1,CONCACAF Championship,New Duane,Vietnam,False,2013
1973-03-02,Myanmar,Macedonia,4,0,Algarve Cup,North Christopher,Croatia,True,2018
1973-03-02,Iceland,Wales,2,2,Olympic Games,Isaacville,Nigeria,True,2014
1973-03-02,Andorra,Burundi,1,3,UEFA Euro qualification,Michealfort,New Zealand,True,2016
1973-03-03,Iran,Hitra,2,0,UEFA Euro qualification,Glennmouth,Denmark,False,2010
1973-03-03,North Korea,Australia,6,0,Algarve Cup,South Saraburgh,New Caledonia,False,2022
1973-03-04,Norway,Guatemala,9,0,Olympic Games,Autumnfurt,Poland,False,2021
1973-03-04,Sierra Leone,Lebanon,3,2,Southeast Asian Games,Moyerhaven,Mexico,True,2016
1973-03-05,Guyana,Finland,1,0,CONCACAF Olympic Qualifying Tournament qualification,Port Donaldhaven,Guatemala,False,2019
1973-03-06,Spain,Russia,9,0,FIFA World Cup qualification,Walkerfurt,Cyprus,False,2008
1973-03-06,Spain,Thailand,10,1,Algarve Cup,Scottstad,Uganda,True,2022
1973-03-06,Colombia,Serbia,1,15,UEFA Nations League,Stevenberg,Poland,True,2018
1973-03-06,Portugal,United States,2,0,FIFA World Cup qualification,Ramirezshire,Puerto Rico,False,2001
1973-03-07,United States,Zimbabwe,4,0,AFC Asian Cup,Scottchester,Estonia,False,2009
1973-03-08,France,Australia,2,0,Friendly,East Antoniobury,Spain,False,2016
1973-03-10,Denmark,Japan,1,0,AFC Asian Cup,Melissachester,South Korea,False,2021
1973-03-12,Thailand,Saudi Arabia,3,0,Friendly,Warrenton,Nepal,False,2021
1973-03-12,Brazil,Lithuania,2,0,Friendly,Heathershire,Latvia,True,2015
1973-03-12,Uzbekistan,Panama,1,0,Friendly,Novakville,Turkey,True,2024
1973-03-12,Scotland,Serbia,1,0,Olympic Games,Cooperfurt,Ivory Coast,True,2013
1973-03-13,United States,Costa Rica,1,0,Friendly,Port Erikberg,United States,False,2024
1973-03-15,India,Scotland,1,0,UEFA Euro qualification,Port Crystal,Mexico,False,2015
1973-03-18,Belarus,Nepal,1,0,AFF Championship,Port Valerie,Russia,True,2015
1973-03-18,Japan,Netherlands,1,0,Friendly,Smithville,Cyprus,False,2020
1973-03-19,Wales,Cameroon,5,0,Pan American Games,Port Jaimetown,Bosnia and Herzegovina,True,2022
1973-03-19,Zimbabwe,Myanmar,1,0,Mundialito,West Ebonymouth,Saudi Arabia,False,2006
1973-03-20,France,Colombia,1,0,Olympic Games,New Cynthiafurt,Greece,True,2013
1973-03-20,Ukraine,Italy,5,12,AFC Asian Cup qualification,East Danielmouth,Turks and Caicos Islands,True,2012
1973-03-21,Norway,Italy,6,0,Friendly,New Michaelburgh,Portugal,True,2020
1973-03-21,Czech Republic,Italy,3,0,UEFA Euro qualification,Gregoryton,Bosnia and Herzegovina,True,2018
1973-03-21,Guatemala,Moldova,4,0,Algarve Cup,Juareztown,Austria,True,2013
1973-03-21,Scotland,Algeria,10,0,International Tournament,Port Connormouth,Brazil,True,2014
1973-03-22,Belgium,South Korea,1,0,International Tournament,Kaiserton,South Africa,False,2020
1973-03-22,Turkey,Uruguay,1,0,Friendly,North Paulafurt,Dominican Republic,False,2022
1973-03-22,Slovakia,Slovakia,5,1,Algarve Cup,West Jason,Poland,False,2012
1973-03-22,Germany,Serbia,6,0,FIFA World Cup qualification,North Thomasmouth,United States,False,2015
1973-03-23,South Korea,Saint Lucia,2,0,UEFA Euro qualification,Port Lorettafort,Moldova,False,2023
1973-03-23,Uzbekistan,Slovakia,1,10,AFC Asian Cup,North Daniel,Belgium,True,2017
1973-03-24,Bosnia and Herzegovina,New Zealand,4,0,Friendly,Francoton,Philippines,False,2018
1973-03-24,Japan,Vietnam,1,1,Asian Games,New Michelleshire,Egypt,False,2001
1973-03-26,Japan,Taiwan,17,0,UEFA Euro qualification,Christineberg,Cyprus,True,2016
1973-03-27,Northern Ireland,Bosnia and Herzegovina,2,0,Algarve Cup,Reginaport,Slovakia,False,2022
1973-03-28,China PR,Great Britain,4,0,Friendly,Chenview,Equatorial Guinea,False,2012
1973-03-29,Canada,Northern Ireland,3,0,Algarve Cup,Port Carlaside,Ecuador,True,2020
1973-03-31,China PR,Zanzibar,5,0,SheBelieves Cup,Lake Brett,Belarus,True,2021
1973-04-01,Scotland,Taiwan,1,0,Friendly,Kimberlyfurt,Bulgaria,False,2014
1973-04-03,Vietnam,Guinea,3,0,Cup of Nations,Reedton,Australia,True,2017
1973-04-03,Hungary,Austria,7,0,Friendly,Brianmouth,United States,False,2019
1973-04-03,Jersey,Malawi,1,2,OFC Olympic Qualifying Tournament,Simmonsburgh,Laos,False,2024
1973-04-03,Canada,Netherlands,3,5,AFC Olympic Qualifying Tournament,Port Albertchester,Belgium,True,2003
1973-04-04,Bulgaria,FR Yugoslavia,2,0,Olympic Games,Heatherport,Guam,True,2024
1973-04-05,Dominican Republic,Georgia,1,2,AFC Championship,New Kevinfort,Nicaragua,True,2013
1973-04-05,El Salvador,Western Isles,10,0,CONCACAF Gold Cup qualification,Hooverside,Argentina,True,2018
1973-04-06,Finland,Portugal,4,0,Friendly,Smithshire,Cyprus,False,2024
1973-04-06,Canada,Sweden,1,0,UEFA Euro qualification,Lake Matthew,Kosovo,False,2014
1973-04-06,Samoa,Jamaica,1,0,Olympic Games,Josephmouth,Uzbekistan,True,2024
1973-04-07,Nicaragua,Nepal,1,0,COSAFA Championship,North Carmen,Equatorial Guinea,False,2018
1973-04-07,Cyprus,Guam,9,0,Friendly,Barkerside,South Africa,False,2014
1973-04-09,Israel,Denmark,1,0,Island Games,Bettyberg,Australia,True,2000
1973-04-12,Saudi Arabia,Turkey,2,1,Friendly,Lake Tarachester,Saudi Arabia,True,2024
1973-04-13,Taiwan,Macedonia,2,0,FIFA World Cup,Kaitlynhaven,Taiwan,True,2021
1973-04-15,Iran,Belgium,1,15,UEFA Euro qualification,North Johaven,United States,True,2022
1973-04-15,Sweden,Belgium,11,0,FIFA World Cup qualification,Shawnfort,Spain,False,2022
1973-04-15,Brazil,Philippines,2,0,UEFA Euro qualification,New Kevintown,Malta,False,2010
1973-04-16,Hong Kong,India,1,0,FIFA World Cup qualification,Florestown,Portugal,False,2021
1973-04-19,Finland,Spain,7,0,Friendly,New Stephanie,United States,False,2015
1973-04-19,Senegal,Norway,1,0,Four Nations Tournament,Davisbury,Norway,False,2022
1973-04-19,Solomon Islands,Australia,1,1,Asian Games,Port John,Shetland,False,2024
1973-04-20,Japan,Spain,6,0,Friendly,South Frederick,South Africa,False,2000
1973-04-20,Barbados,South Korea,2,0,African Championship,West Tracey,Guatemala,False,2017
1973-04-20,Slovenia,Dominican Republic,5,0,AFC Championship,West Carrieland,Samoa,True,2022
1973-04-21,Czech Republic,El Salvador,3,0,Friendly,North Hannah,Congo,True,2023
1973-04-23,Belarus,Bosnia and Herzegovina,1,0,African Championship,Phillipsport,Myanmar,False,2024
1973-04-23,Nepal,Faroe Islands,2,0,UEFA Euro qualification,West Tyler,Dominican Republic,False,2022
1973-04-25,Mauritius,Belarus,1,0,Friendly,Sabrinamouth,Argentina,False,2021
1973-04-25,Sweden,Taiwan,3,5,Yongchuan International Tournament,North Mark,Portugal,True,2023
1973-04-25,Brazil,Colombia,1,0,Friendly,South Nicholas,Canada,True,2022
1973-04-25,Wales,Italy,12,0,African Championship,Alexhaven,Canada,False,2018
1973-04-26,Argentina,England,10,0,FIFA World Cup qualification,New Brentstad,Romania,False,2024
1973-04-26,Mexico,Scotland,4,0,UEFA Euro qualification,Coxland,Malta,False,2022
1973-04-27,Portugal,North Korea,8,0,Baltic Cup,Matthewshire,Cyprus,True,2018
1973-04-27,Lithuania,Ukraine,2,0,Friendly,Port Kathrynside,Cyprus,False,2022
1973-04-28,Malta,Peru,3,0,FIFA World Cup qualification,Katelynside,Belarus,False,2012
1973-04-29,France,Costa Rica,5,0,FIFA World Cup qualification,Port Beth,Portugal,True,2004
1973-04-29,Italy,Canada,1,0,AFC Olympic Qualifying Tournament,East Suzanneside,Jamaica,False,2022
1973-04-29,Germany,Vietnam,7,0,Island Games,Port Caleb,Hungary,False,2007
1973-04-30,Latvia,Scotland,2,0,Friendly,Lauramouth,Albania,False,2022
1973-05-01,Ukraine,Italy,2,0,Turkish Women's Cup,North Garyport,Poland,True,2012
1973-05-01,United States,Netherlands,9,0,Friendly,North Lisa,Belgium,False,2023
1973-05-02,Portugal,Denmark,1,0,Four Nations Tournament,Hernandezmouth,Ghana,False,2003
1973-05-02,Tanzania,Belgium,1,0,AFC Championship,Bauerchester,Portugal,True,2017
1973-05-03,South Korea,Costa Rica,1,0,International Tournament,Georgeberg,China PR,False,2016
1973-05-04,France,Netherlands,1,8,FIFA World Cup qualification,Patelmouth,Spain,False,2017
1973-05-04,United States,Eswatini,2,0,Friendly,Scottburgh,South Africa,False,2023
1973-05-06,Ukraine,Cameroon,1,0,UEFA Euro qualification,New Chadberg,Sweden,False,2022
1973-05-07,Scotland,Croatia,5,0,UEFA Euro qualification,New Jamesfort,Cyprus,False,2020
1973-05-08,Azerbaijan,Azerbaijan,11,0,Friendly,New Tanyafort,United States,False,2020
1973-05-08,Dominican Republic,Algeria,1,0,Inter Games,Katherinemouth,New Caledonia,True,2019
1973-05-09,Scotland,Brazil,4,0,UEFA Euro qualification,Bartlettberg,Portugal,False,2014
1973-05-10,China PR,Equatorial Guinea,1,0,African Championship qualification,Joannaburgh,Ivory Coast,False,2016
1973-05-10,Costa Rica,Bahrain,1,1,COSAFA Championship,Sanfordland,El Salvador,False,2018
1973-05-12,Isle of Wight,Estonia,4,13,FIFA World Cup qualification,North Brendanfurt,Bangladesh,True,2023
1973-05-13,Nepal,Seychelles,6,0,AFC Asian Cup,Hutchinsonport,Nepal,False,2016
1973-05-14,Netherlands,United States,1,5,Friendly,Crystalland,South Africa,False,2015
1973-05-15,China PR,Serbia,9,4,AFF Championship,Port Heathermouth,Switzerland,True,2021
1973-05-15,Philippines,Netherlands,1,0,FIFA World Cup qualification,South Samuel,Saint Kitts and Nevis,False,2020
1973-05-16,Mozambique,Ghana,2,0,FIFA World Cup qualification,Robertston,Albania,True,2020
1973-05-17,Sweden,United States,1,0,African Championship qualification,Gonzalezton,Bosnia and Herzegovina,False,2016
1973-05-17,Fiji,Brazil,2,0,Island Games,Normanstad,Philippines,False,2011
1973-05-18,Jordan,Maldives,8,0,SAFF Championship,Colinshire,Poland,False,2021
1973-05-18,Belgium,Armenia,3,0,CONCACAF Championship qualification,Lake Katelynville,Finland,False,2019
1973-05-21,Spain,Finland,4,2,CAF Olympic Qualifying Tournament,Davidville,France,True,2021
1973-05-21,Botswana,Italy,1,0,AFC Asian Cup qualification,Kennethfurt,Shetland,False,2006
1973-05-21,Vietnam,Uzbekistan,1,0,Baltic Cup,South Crystal,Denmark,False,2023
1973-05-21,Brazil,England,1,0,Pan American Games,Simmonstown,Tajikistan,True,2019
1973-05-22,Netherlands,Faroe Islands,2,0,UEFA Euro qualification,West Lindaburgh,United States,True,2009
1973-05-22,Mongolia,Netherlands,1,0,Asian Games,North Amber,Portugal,False,2002
1973-05-23,Fiji,Scotland,1,0,FIFA World Cup qualification,Mendezberg,South Africa,True,2021
1973-05-23,Georgia,Singapore,1,0,African Cup of Nations qualification,East Larryland,China PR,True,2013
1973-05-24,France,South Korea,1,0,Southeast Asian Games,Christopherfurt,Portugal,False,2020
1973-05-26,Cayman Islands,Kosovo,3,0,FIFA World Cup qualification,Port Jeremiahland,South Africa,False,2020
1973-05-27,Namibia,Portugal,1,0,Yongchuan International Tournament,Smithfurt,Czech Republic,False,2012
1973-05-27,Norway,Cook Islands,2,0,Friendly,Wilkinsfort,South Africa,False,2021
1973-05-27,Belgium,Uruguay,4,0,Olympic Games,West Wendy,China PR,False,1999
1973-05-28,Australia,Guatemala,1,0,UEFA Euro,Garyland,Cameroon,False,2007
1973-05-28,Brazil,Thailand,1,0,Friendly,North Charlesberg,Nicaragua,True,2006
1973-05-29,Laos,Australia,2,0,Algarve Cup,West Ronald,China PR,False,2016
1973-05-30,Russia,South Korea,4,0,International Tournament,North James,Nicaragua,False,2022
1973-05-30,Bosnia and Herzegovina,Laos,6,0,CONCACAF Olympic Qualifying Tournament qualification,New Scott,Tanzania,False,2019
1973-05-30,Brazil,Sweden,1,0,U.S. Cup,Martinezbury,Grenada,True,2014
1973-05-31,Iceland,Costa Rica,1,9,FIFA World Cup qualification,Port Andrew,South Africa,False,2020
1973-05-31,Republic of Ireland,Moldova,1,0,Turkish Women's Cup,Duncanshire,Anguilla,True,2014
1973-06-02,Botswana,Chile,2,0,UEFA Euro qualification,Santosside,China PR,False,1997
1973-06-02,Mexico,United States,1,0,FIFA World Cup qualification,Lake Jeffrey,Italy,True,2007
1973-06-02,Austria,Philippines,4,0,UEFA Euro qualification,Coxburgh,United States,True,2015
1973-06-03,Dominican Republic,Japan,1,3,AFC Olympic Qualifying Tournament,South Alicia,Wales,False,2021
1973-06-03,Germany,Nepal,1,0,Friendly,West Paulport,Slovenia,False,2023
1973-06-03,Brazil,Russia,2,0,Friendly,West Christopherton,Ecuador,True,2024
1973-06-05,Kenya,Nigeria,1,0,Friendly,Port Diana,England,False,2020
1973-06-05,Sierra Leone,Wales,2,0,FIFA World Cup qualification,North Shane,Northern Ireland,False,2020
1973-06-05,South Africa,Argentina,1,0,UEFA Nations League,Davidtown,Austria,True,2010
1973-06-08,Bonaire,Thailand,1,0,UEFA Euro qualification,Porterfurt,Jersey,False,2021
1973-06-10,United States,India,12,0,UEFA Euro qualification,Michaelton,United States,True,2015
1973-06-10,Japan,Netherlands,3,0,Friendly,East Ruben,Poland,False,2023
1973-06-11,United States,Paraguay,2,0,Asian Games,South Joannaside,Mexico,False,2021
1973-06-11,Georgia,Ukraine,4,0,UEFA Euro qualification,Jacksonmouth,United States,False,2024
1973-06-12,China PR,Gabon,1,0,FIFA World Cup qualification,South Katie,Croatia,False,2009
1973-06-12,Honduras,Greece,2,0,CONCACAF Olympic Qualifying Tournament qualification,East Bethany,Argentina,True,2018
1973-06-13,Finland,Wales,8,0,FIFA World Cup qualification,South Gracefurt,United States,False,2022
1973-06-13,Sweden,Belarus,2,0,CECAFA Championship,Port Matthew,Spain,False,2020
1973-06-13,Uzbekistan,Thailand,12,0,COSAFA Championship,Sandrahaven,Brazil,True,2016
1973-06-14,Zambia,Slovenia,1,1,Friendly,Daniellechester,Mexico,True,2003
1973-06-14,Hong Kong,Mali,7,0,African Championship qualification,Port Eric,Romania,True,2014
1973-06-15,France,England,5,0,FIFA World Cup qualification,South Julieview,Northern Ireland,True,2016
1973-06-15,Lithuania,Albania,11,0,FIFA World Cup,Brandonhaven,Netherlands,True,2011
